401322,bad
401734,good
411445,bad
411561,good
411927,bad
398841,bad
399075,good
399087,good
399189,bad
399249,bad
414954,bad
401760,bad
411706,good
412132,good
412195,bad
400617,good
400895,bad
399684,good
399900,bad
396766,bad
415331,bad
415342,bad
415362,bad
401644,good
401908,good
402132,bad
402163,good
411136,bad
411541,bad
399133,bad
415513,bad
401296,good
404116,bad
401764,bad
401812,bad
411614,bad
399598,good
399743,good
399905,bad
396904,bad
415170,good
401215,bad
401637,bad
401695,good
401719,good
401736,bad
401765,good
401830,good
402110,bad
411744,good
415226,bad
415335,good
401036,good
401075,good
401315,good
411795,good
401562,good
401570,good
401615,good
411801,bad
401579,good
401982,good
401997,good
402028,good
402104,good
411103,good
411566,good
412173,bad
411777,good
411932,good
401723,good
401827,good
401972,good
411137,good
411182,good
411468,good
411512,good
411513,good
411529,good
411613,bad
415146,good
415494,good
401134,good
401136,good
401182,good
402147,good
411192,good
411195,good
411449,good
411467,good
412053,bad
399556,good
399612,bad
396591,good
396774,bad
400631,bad
398639,bad
403412,good
403901,bad
404136,bad
